run_id,created_at_utc,task_id,subtask_id,task_dir,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,blueprint_matched,blueprint_id,blueprint_similarity,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,cost_by_model,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
,2026-07-01T06:00:21.314068+00:00,1-1,0,tasks/officebench/1-1,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,1,planned,,1,0,15.21,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding"", ""contact_manager"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""date/time handling"", ""appointment creation""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8627, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""date/time handling"", ""appointment creation""]}, {""agent"": ""task_scheduler"", ""score"": 0.8414, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8359, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""date/time handling""]}, {""agent"": ""time_tracker"", ""score"": 0.7932, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""contact_manager"", ""score"": 0.7689, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""appointment creation""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7689, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""appointment creation""]}]}]",10247,1051,11298,35,0.015778,3e-06,0.015781,"{""gpt-5.4-mini-2026-03-17"": 0.009635, ""gpt-5.1-2025-11-13"": 0.006143}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:00:46.633154+00:00,1-1,1,tasks/officebench/1-1,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,1,planned,,1,0,11.61,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""email"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""reminder scheduling"", ""calendar event handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""reminder scheduling"", ""calendar event handling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8469, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""reminder scheduling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8282, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""reminder scheduling""]}, {""agent"": ""email"", ""score"": 0.7648, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar event handling""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7622, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""calendar event handling""]}]}]",10096,978,11074,28,0.015094,3e-06,0.015097,"{""gpt-5.4-mini-2026-03-17"": 0.009391, ""gpt-5.1-2025-11-13"": 0.005703}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:01:29.778609+00:00,1-1,2,tasks/officebench/1-1,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,1,planned,,1,0,29.33,0,5,2,1,0,,0.0,0,0,1,-1.0,"[""calendar"", ""notification_sender""]",[],0,"{""calendar"": ""embedding"", ""notification_sender"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""notification setup""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8627, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""notification_sender"", ""score"": 0.8424, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""notification setup""]}, {""agent"": ""task_scheduler"", ""score"": 0.8414, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""notification setup""]}, {""agent"": ""social_media_poster"", ""score"": 0.8359, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling"", ""notification setup""]}]}]",23754,2308,26062,35,0.035429,3e-06,0.035432,"{""gpt-5.4-mini-2026-03-17"": 0.022089, ""gpt-5.1-2025-11-13"": 0.01334}",0,0,0,0,0,0,0,[],5,"[""gather_context"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:02:00.057262+00:00,1-1,3,tasks/officebench/1-1,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,0,planned,,1,0,16.66,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""weather_service"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""spell_checker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""schedule lookup"", ""calendar interpretation"", ""event conflict checking""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8348, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar interpretation"", ""event conflict checking""]}, {""agent"": ""task_scheduler"", ""score"": 0.7737, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""schedule lookup""]}, {""agent"": ""social_media_poster"", ""score"": 0.7679, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""schedule lookup""]}, {""agent"": ""weather_service"", ""score"": 0.7659, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar interpretation""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.764, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""calendar interpretation"", ""event conflict checking""]}, {""agent"": ""spell_checker"", ""score"": 0.7551, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""event conflict checking""]}]}]",10304,1032,11336,53,0.015888,5e-06,0.015893,"{""gpt-5.4-mini-2026-03-17"": 0.009459, ""gpt-5.1-2025-11-13"": 0.006429}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:02:27.114546+00:00,1-1,4,tasks/officebench/1-1,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,1,planned,,1,0,12.66,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""time_tracker"": ""embedding"", ""social_media_poster"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date/time handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8846, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation"", ""date/time handling""]}, {""agent"": ""time_tracker"", ""score"": 0.7932, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""social_media_poster"", ""score"": 0.7674, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar event creation"", ""date/time handling""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7601, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar event creation""]}]}]",10178,1106,11284,33,0.016174,3e-06,0.016177,"{""gpt-5.4-mini-2026-03-17"": 0.009679, ""gpt-5.1-2025-11-13"": 0.006495}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:02:54.446694+00:00,1-2,0,tasks/officebench/1-2,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,0,planned,,1,0,13.5,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""social_media_poster"": ""embedding"", ""contact_manager"": ""embedding"", ""ticket_manager"": ""embedding"", ""inventory_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability matching"", ""meeting coordination""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8627, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""meeting coordination""]}, {""agent"": ""task_scheduler"", ""score"": 0.8414, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.839, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""meeting coordination""]}, {""agent"": ""social_media_poster"", ""score"": 0.8359, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""contact_manager"", ""score"": 0.7777, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""meeting coordination""]}, {""agent"": ""ticket_manager"", ""score"": 0.7614, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability matching""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7598, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""availability matching""]}]}]",12130,970,13100,27,0.016753,3e-06,0.016756,"{""gpt-5.4-mini-2026-03-17"": 0.010724, ""gpt-5.1-2025-11-13"": 0.006029}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:03:34.432791+00:00,1-2,1,tasks/officebench/1-2,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,1,planned,,1,0,25.96,1,3,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""contact_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability coordination"", ""date/time reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8627, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8414, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8359, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""availability coordination"", ""date/time reasoning""]}, {""agent"": ""time_tracker"", ""score"": 0.7929, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time reasoning""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7754, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contact_manager"", ""score"": 0.7681, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability coordination""]}]}]",33302,2521,35823,38,0.04132,4e-06,0.041324,"{""gpt-5.4-mini-2026-03-17"": 0.032636, ""gpt-5.1-2025-11-13"": 0.008684}",0,0,0,0,0,0,0,[],6,"[""gather_context"", ""create_plan"", ""update_step"", ""update_step"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:04:02.578118+00:00,1-2,2,tasks/officebench/1-2,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,0,planned,,1,0,12.52,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""recipe_finder"": ""embedding"", ""time_tracker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""travel_booker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability finding"", ""time/date reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8627, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""time/date reasoning""]}, {""agent"": ""task_scheduler"", ""score"": 0.8414, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8359, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""time/date reasoning""]}, {""agent"": ""recipe_finder"", ""score"": 0.7931, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""availability finding""]}, {""agent"": ""time_tracker"", ""score"": 0.7898, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""time/date reasoning""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7799, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability finding""]}, {""agent"": ""travel_booker"", ""score"": 0.7718, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""availability finding""]}]}]",10490,1062,11552,26,0.016118,3e-06,0.016121,"{""gpt-5.4-mini-2026-03-17"": 0.009778, ""gpt-5.1-2025-11-13"": 0.00634}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:04:37.533109+00:00,1-2,3,tasks/officebench/1-2,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,0,planned,,0,1,19.01,0,3,2,2,0,,0.0,0,0,1,-1.0,"[""database""]",[],0,"{""database"": ""embedding"", ""ocr"": ""embedding"", ""recipe_finder"": ""embedding"", ""time_tracker"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""information retrieval"", ""temporal reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""database"", ""score"": 0.8234, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""ocr"", ""score"": 0.7967, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""recipe_finder"", ""score"": 0.7811, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""time_tracker"", ""score"": 0.7683, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""temporal reasoning""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7518, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""temporal reasoning""]}]}]",10946,1367,12313,23,0.020601,2e-06,0.020603,"{""gpt-5.4-mini-2026-03-17"": 0.008916, ""gpt-5.1-2025-11-13"": 0.011685}",0,0,0,0,0,0,0,[],5,"[""gather_context"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
,2026-07-01T06:05:10.390179+00:00,1-2,4,tasks/officebench/1-2,followup_20260701-officebench_baseline_upper_sparse,followup_20260701/officebench_baseline_upper_sparse,1,planned,,1,0,17.59,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""social_media_poster"": ""embedding"", ""task_scheduler"": ""embedding"", ""weather_service"": ""embedding"", ""travel_booker"": ""embedding"", ""recipe_finder"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar lookup"", ""commitment comparison"", ""date-based schedule retrieval""], ""unmatched"": [""commitment comparison""], ""results"": [{""agent"": ""calendar"", ""score"": 0.8375, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar lookup""]}, {""agent"": ""social_media_poster"", ""score"": 0.8027, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date-based schedule retrieval""]}, {""agent"": ""task_scheduler"", ""score"": 0.8019, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date-based schedule retrieval""]}, {""agent"": ""weather_service"", ""score"": 0.7784, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date-based schedule retrieval""]}, {""agent"": ""travel_booker"", ""score"": 0.7718, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""calendar lookup""]}, {""agent"": ""recipe_finder"", ""score"": 0.7667, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""calendar lookup""]}]}]",11891,860,12751,33,0.015759,3e-06,0.015762,"{""gpt-5.4-mini-2026-03-17"": 0.010295, ""gpt-5.1-2025-11-13"": 0.005464}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
